Title,Genre,Premiere,Language
Pass Over,Drama,"April 20, 2018",English
Guava Island,Drama,"April 13, 2019",English
Troop Zero,Drama,"January 17, 2020",English
Blow the Man Down,Drama,"March 20, 2020",English
Selah and the Spades,Drama,"April 17, 2020",English
The Vast of Night,Drama,"May 29, 2020",English
Ponmagal Vandhal,Legal drama,"May 29, 2020",Tamil
Gulabo Sitabo,Comedy/Drama,"June 12, 2020",Hindi
7500,Drama,"June 18, 2020",English
Penguin,Mystery/Thriller,"June 19, 2020",Tamil/Telugu
Sufiyum Sujatayum,Musical/Drama,"July 3, 2020",Malayalam
Law,Legal drama,"July 17, 2020",Kannada
Radioactive,Drama,"July 24, 2020",English
French Biriyani,Comedy/Drama,"July 24, 2020",Kannada
Shakuntala Devi,Biographical,"July 31, 2020",Hindi
Chemical Hearts,Drama,"August 21, 2020",English
Get Duked!,Comedy,"August 28, 2020",English
C U Soon,Mystery/Thriller,"September 1, 2020",Malayalam
V,Action/Thriller,"September 5, 2020",Telugu
Nishabdham / Silence,Mystery/Thriller,"October 2, 2020",Telugu/Tamil
Black Box,Horror,"October 6, 2020",English
The Lie,Horror,"October 6, 2020",English
Nocturne,Horror,"October 13, 2020",English
Evil Eye,Horror,"October 13, 2020",English
Halal Love Story,Comedy/Drama,"October 15, 2020",Malayalam
Putham Pudhu Kaalai,Drama,"October 16, 2020",Tamil
Borat Subsequent Moviefilm,Comedy,"October 23, 2020",English
Bheemasena Nalamaharaja,Drama/Romance,"October 29, 2020",Kannada
Gatham,Thriller,"November 6, 2020",Telugu
Soorarai Pottru,Biographical,"November 12, 2020",Tamil
Chhalaang,Comedy/Drama,"November 13, 2020",Hindi
Manne Number 13,Horror,"November 19, 2020",Kannada
Middle Class Melodies,Romance,"November 20, 2020",Telugu
Uncle Frank,Drama,"November 25, 2020",English
Bombhaat,Science fiction,"December 3, 2020",Telugu
IIT Krishnamurthy,Mystery/Thriller,"December 10, 2020",Telugu
Durgamati,Horror/Thriller,"December 11, 2020",Hindi
Guvva Gorinka,Romance/Drama,"December 17, 2020",Telugu
Unpaused,Anthology,"December 18, 2020",Hindi
Sylvie's Love,Drama,"December 23, 2020",English
Coolie No. 1,Comedy/Drama,"December 25, 2020",Hindi
Maara,Romance/Drama,"January 8, 2021",Tamil
Coming 2 America,Comedy,"March 5, 2021",English

