Title,Genre,Release,Runtime,Language
The Map of Tiny Perfect Things,Drama,2021,TBA,English
Bingo[183],Horror,2021,TBA,English
Black as Night[184],Horror,2021,TBA,English
Madres[185],Horror,2021,TBA,English
The Manor[186],Horror,2021,TBA,English
The Mad Woman's Ball[187],Period mystery thriller,2021,TBA,French
Louis Wain,Biography,2021,TBA,English
Run Sweetheart Run[188][189],Horror,2021,"1 hour, 37 min.",English
The Voyeurs,Erotic thriller,2021,TBA,English
Without Remorse[190],Action thriller,2021,TBA,English
