Title,Genre,Premiere,Seasons/episodes,Language,Status
Harumi's Kitchen,Cooking show,"November 4, 2016","1 season, 12 episodes",Japanese,Ended
Hitoshi Matsumoto Presents Documental,Comedy competition,"November 30, 2016","8 seasons, 38 episodes",Japanese,Pending
The Bachelor Japan,Dating reality show,"February 17, 2017","3 seasons, 50 episodes",Japanese,Pending
Caligula,Variety,"June 9, 2017","2 seasons, 38 episodes",Japanese,Ended
Sentosha: Battle Wheels,Motor competition,"October 6, 2017","2 seasons, 10 episodes",Japanese,Ended
The Remix,Music competition,"March 9, 2018","1 season, 10 episodes",Hindi,Ended
Comicstaan,Comedy competition,"July 13, 2018","2 seasons, 17 episodes",Hindi,Pending
Hitoshi Matsumoto Presents Freeze,Game show,"September 19, 2018","2 seasons, 10 episodes",Japanese,Pending
Hear Me Love Me,Dating game show,"September 28, 2018","1 season, 10 episodes",Hindi,Pending
LOL: Last One Laughing (México),Comedy competition,"December 14, 2018","2 seasons, 12 episodes",Spanish,Pending
Skulls and Roses,Reality competition,"August 29, 2019","1 season, 10 episodes",Hindi,Pending
"Una Vida, Una Cena",Cooking talk show,"December 17, 2019","1 season, 6 episodes",Spanish,Pending
Love Island France,Reality competition,"March 2, 2020","1 season, 15 episodes",French,Pending
Celebrity Hunted: Caccia all'uomo,Reality competition,"March 13, 2020","1 season, 6 episodes",Italian,Renewed
Wild and Free in Florianópolis,Reality show,"March 20, 2020","1 season, 8 episodes",Portuguese,Renewed
Making the Cut,Reality competition,"March 27, 2020","1 season, 10 episodes",English,Pending
LOL: Last One Laughing (Australia),Competition,"June 19, 2020","1 season, 6 episodes",English,Pending
World's Toughest Race: Eco-Challenge Fiji,Reality,"August 14, 2020","1 season, 10 episodes",English,Pending
Comicstaan Semma Comedy Pa,Comedy competition,"September 11, 2020","1 season, 8 episodes",Tamil,Pending
The Bachelorette Japan,Dating reality show,"October 9, 2020","1 season, 10 episodes",Japanese,Pending
The Pack,Competition,"November 20, 2020","1 season, 10 episodes",English,Pending
