Title,Genre,Seasons,Premiere
Stan Lee's Superhero Kindergarten (co-production with Youku)[60],Animated action-adventure comedy,"1 season, 52 episodes",Early 2021
The End[61][62],Hindi Action-thriller,TBA,Late 2021
Back to the Rafters[63],Comedy-drama,TBA,2021[64]
Dinner Club[65],Italian cooking/travel documentary,TBA,2021[66]
"Do, Re & Mi[67]",Animation,TBA,2021
Fairfax[68],Adult animated comedy,"1 season, 8 episodes",2021; Renewed
Invincible[69],Adult animated superhero drama,"1 season, 8 episodes",2021
La Templanza[70],Spanish historical romance,TBA,2021[71]
"LOL: Si te ríes, pierdes[72]",Spanish competition,"1 season, 6 episodes",2021
The Lord of the Rings[73],Fantasy,TBA,2021; Renewed
The Missing One[74],French reality competition,TBA,2021
Narcos vs Zombies[75],Spanish horror,TBA,2021
Operations Totems[74],French historical drama,"1 season, 8 episodes",2021
Tell Me Your Secrets[76],Thriller drama,"1 season, 10 episodes",2021
Them[77],Anthology horror,TBA,2021; Renewed
Un Asunto Privado[78],Spanish thriller comedy,"1 season, 8 episodes",2021
The Underground Railroad[79],Drama miniseries,11 episodes,2021[80]
Untitled David Weil series[81],Science fiction anthology,TBA,2021
Untitled Richard Hammond/Tory Belleci survival docu-series[82],Docu-series,TBA,2021
"Voltaire, Mixte[74]",French historical drama,"1 season, 8 episodes",2021
A League of Their Own[83][84],Comedy,TBA,TBA
Bang Bang Baby[85],Italian crime drama,TBA,TBA
The Banker's Wife[86],Drama,"1 season, 8 episodes",TBA
Daisy Jones & The Six[87],Drama miniseries,13 episodes,TBA
Dom[88],Portuguese crime drama,TBA,TBA
Everybody Loves Diamonds[52],Italian heist drama,TBA,TBA
The Expatriates[89],Drama,TBA,TBA
Fallout[90],Post-apocalyptic drama,TBA,TBA
Frank of Ireland (co-production with Channel 4)[91],Comedy,"1 season, 6 episodes",TBA
I Bought The Farm[92],Docu-series,"1 season, 8 episodes",TBA
I Know What You Did Last Summer[93][94],Young adult horror drama,TBA,TBA
"Iosi, El Espía Arrepentido[95]",Spanish thriller,"1 season, 8 episodes",TBA
The Legend of Vox Machina[96],Adult animated action comedy,"1 season, 10 episodes",TBA; Renewed
Lightyears[97],Science fiction drama,TBA,TBA
Noticia De Un Secuestro[95],Spanish drama,"1 season, 6 episodes",TBA
Sin Limites[98],Spanish historical drama,"1 season, 4 episodes",TBA
The Offenders (co-production with BBC One)[99],Comedy,"1 season, 6 episodes",TBA
Outer Range[100],Mystery,TBA,TBA
Panic[101],Young adult drama,TBA,TBA
Paper Girls[102],Science fiction,TBA,TBA
The Peripheral[103],Drama,TBA,TBA
The Power[104],Drama,TBA,TBA
The Pursuit of Love[105] (co-production with BBC One),Drama miniseries,3 episodes,TBA
The Rig[106],Supernatural thriller,"1 season, 6 episodes",TBA
Rihanna: Volume 1[107],Documentary,TBA,TBA
The Terminal List[108],Conspiracy thriller,TBA,TBA
Three Pines[109],Crime drama,TBA,TBA
Untilted Amancio Ortega docudrama[110],Spanish docudrama,"1 season, 8 episodes",TBA
Untitled Jack Reacher series[111],Drama,TBA,TBA
Untitled Jason Katims autism comedy drama series[112],Comedy drama,TBA,TBA
Untilted Paris Saint-Germain F.C. docu-series[113],Sports docu-series,"1 season, 4 episodes",TBA
Untitled Priyanka Chopra/Nick Jonas unscripted sangeet series[114],Reality,TBA,TBA
Untitled Tracy Oliver comedy series[115],Comedy,"1 season, 10 episodes",TBA
Vita da Carlo[65],Italian comedy,"1 season, 10 episodes",TBA
The Wheel of Time[116],Fantasy,TBA,TBA
