Title,Genre,Release date,Runtime
Lady and the Tramp,Romantic musical,"November 12, 2019","1 hour, 43 min."
Noelle,Fantasy adventure comedy,"November 12, 2019","1 hour, 40 min."
Togo,Adventure drama,"December 20, 2019","1 hour, 53 min."
Timmy Failure: Mistakes Were Made,Comedy,"February 7, 2020","1 hour, 39 min."
Stargirl,Jukebox musical/Romantic drama,"March 13, 2020","1 hour, 47 min."
Magic Camp,Family comedy,"August 14, 2020","1 hour, 40 min."
Phineas and Ferb the Movie: Candace Against the Universe,Animated adventure comedy,"August 28, 2020","1 hour, 25 min."
Secret Society of Second-Born Royals,Superhero,"September 25, 2020","1 hour, 39 min."
Clouds,Musical drama,"October 16, 2020","2 hours, 2 min."
Black Beauty,Drama,"November 27, 2020","1 hour, 50 min."
Godmothered,Fantasy comedy,"December 4, 2020","1 hour, 53 min."
Safety,Sports drama,"December 11, 2020","2 hours, 2 min."
Flora & Ulysses,Family comedy,"February 19, 2021[2]",TBA
