Title,Genre
The Biggest Star in Appleton,Comedy
Darkwing Duck,Animated action-adventure comedy
Explorer Academy,Realistic fiction
I Am Groot,Comedy-action
Life and Deaf,Comedy
Secret Guide to Celestial Creatures,Action-adventure drama
Swiss Family Robinson,Survival adventure
The Night Market,TBA
Untitled The Sandlot series,Comedy
Untitled True Lies series,Comedy-action
Untitled National Treasure series,Action-adventure
Untitled Percy Jackson & the Olympians series,Fantasy
Untitled Kingdom Hearts series,Action
Untitled Rio spin-off,Comedy/Animation/Adventure
