Title,Genre,Premiere,Seasons,Runtime,Status
Marvel's Hero Project,Docuseries,"November 12, 2019","1 season, 20 episodes",22–26 min.,Pending
The Imagineering Story,Docuseries,"November 12, 2019",6 episodes,61–68 min.,Miniseries
The World According to Jeff Goldblum,Docuseries,"November 12, 2019","1 season, 12 episodes",22–30 min.,Renewed
One Day at Disney,Docuseries,"December 6, 2019","1 season, 51 episodes",5–7 min.,Pending
Pick of the Litter,Docuseries,"December 20, 2019","1 season, 6 episodes",25–34 min.,Pending
Disney Insider,Docuseries,"March 20, 2020","1 season, 6 episodes",16–17 min.,Pending
Prop Culture,Docuseries,"May 1, 2020","1 season, 8 episodes",29–36 min.,Pending
Disney Gallery: The Mandalorian,Docuseries,"May 4, 2020","1 season, 8 episodes",29–33 min.,"Special about the second season to air December 25, 2020"
It's a Dog's Life with Bill Farmer,Docuseries,"May 15, 2020","1 season, 10 episodes",20–22 min.,Pending
Into the Unknown: Making Frozen II,Docuseries,"June 26, 2020","1 season, 6 episodes",28–43 min.,Ended
Rogue Trip,Travel show,"July 24, 2020","1 season, 6 episodes",33–38 min.,Pending
Magic of Disney's Animal Kingdom,Docuseries,"September 25, 2020","1 season, 8 episodes",36–39 min.,Pending
Meet the Chimps,Docuseries,"October 16, 2020","1 season, 6 episodes",34–40 min.,Pending
Inside Pixar,Docuseries,"November 13, 2020","1 collection, 5 episodes",9–11 min.,Pending
Marvel's 616,Docuseries,"November 20, 2020","1 season, 8 episodes",38–70 min.,Pending
On Pointe,Docuseries,"December 18, 2020","1 season, 6 episodes",39–52 min.,Pending
Marvel Studios: Legends,Superhero clip show,"January 8, 2021",TBA,TBA,Pending
