Title,Genre,Premiere,Seasons,Runtime,Status
The Mandalorian,Space Western,"November 12, 2019","2 seasons, 16 episodes",31-54 min.,Season 2 ongoing; Renewed
The Right Stuff,Historical drama,"October 9, 2020","1 season, 8 episodes",42-52 min.,Pending
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
WandaVision,Superhero sitcom/drama,"January 15, 2021","1 season, 6 episodes",TBA,Pending
The Falcon and the Winter Soldier,Superhero action,"March 19, 2021","1 season, 6 episodes",TBA,Pending
High School Musical: The Musical: The Series,Musical/mockumentary,"November 12, 2019","1 season, 10 episodes",26-34 min.,Renewed
Diary of a Future President,Comedy-drama,"January 17, 2020","1 season, 10 episodes",22-28 min.,Renewed
Forky Asks a Question,Animation,"November 12, 2019","1 season, 10 episodes",3-4 min.,Pending
SparkShorts,Animation,"November 12, 2019","2 seasons, 7 episodes",7-12 min.,Season 2 ongoing
Short Circuit,Animation,"January 24, 2020","1 season, 14 episodes",5-7 min.,Pending
Zenimation,Animation/ASMR,"May 22, 2020","1 season, 11 episodes",5-49 min.,Pending
The Wonderful World of Mickey Mouse,Animation,"November 18, 2020","1 season, 20 episodes",8 min.,Season 1 ongoing
Marvel's Hero Project,Docuseries,"November 12, 2019","1 season, 20 episodes",22-26 min.,Pending
The Imagineering Story,Docuseries,"November 12, 2019",6 episodes,61-68 min.,Miniseries
The World According to Jeff Goldblum,Docuseries,"November 12, 2019","1 season, 12 episodes",22-30 min.,Renewed
One Day at Disney,Docuseries,"December 6, 2019","1 season, 51 episodes",5-7 min.,Pending
Pick of the Litter,Docuseries,"December 20, 2019","1 season, 6 episodes",25-34 min.,Pending
Disney Insider,Docuseries,"March 20, 2020","1 season, 6 episodes",16-17 min.,Pending
Prop Culture,Docuseries,"May 1, 2020","1 season, 8 episodes",29-36 min.,Pending
Disney Gallery: The Mandalorian,Docuseries,"May 4, 2020","1 season, 8 episodes",29-33 min.,"Season 2 due to premiere on December 25, 2020"
It's a Dog's Life with Bill Farmer,Docuseries,"May 15, 2020","1 season, 10 episodes",20-22 min.,Pending
Into the Unknown: Making Frozen 2,Docuseries,"June 26, 2020","1 season, 6 episodes",28-43 min.,Ended
Rogue Trip,Travel show,"July 24, 2020","1 season, 6 episodes",33-38 min.,Pending
Magic of Disney's Animal Kingdom,Docuseries,"September 25, 2020","1 season, 8 episodes",36-39 min.,Pending
Meet the Chimps,Docuseries,"October 16, 2020","1 season, 6 episodes",34-40 min.,Pending
Inside Pixar,Docuseries,"November 13, 2020","1 collection, 5 episodes",9-11 min.,Pending
Marvel's 616,Docuseries,"November 20, 2020","1 season, 8 episodes",38-70 min.,Pending
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
On Pointe,Docuseries,"December 18, 2020","1 season, 6 episodes",TBA,Pending
Disney Family Sundays,DIY,"November 12, 2019","1 season, 40 episodes",5-8 min.,Ended
Encore!,Reality show,"November 12, 2019","1 season, 12 episodes",56-58 min.,Pending
Pixar in Real Life,Hidden camera reality,"November 12, 2019","1 season, 11 episodes",4-6 min.,Pending
Shop Class,Reality competition,"February 28, 2020","1 season, 8 episodes",59 min.,Pending
Be Our Chef,Cooking reality competition,"March 27, 2020","1 season, 11 episodes",29 min.,Pending
The Big Fib,Game show,"May 22, 2020","1 season, 30 episodes",21-25 min.,Pending
Muppets Now,Variety/puppetry,"July 31, 2020","1 season, 6 episodes",22-24 min.,Pending
Earth to Ned,Talk show/puppetry,"September 4, 2020","1 season, 10 episodes",30 min.,Pending
Disney's Fairy Tale Weddings (season 2),Docuseries,"February 14, 2020",Freeform,"1 season, 8 episodes",63 min.,Pending
Star Wars: The Clone Wars (season 7),Animation/Space opera,"February 21, 2020",Cartoon Network & Netflix,"1 season, 12 episodes",24 min.,Ended
Weird But True! (season 3),Docuseries,"August 14, 2020",National Geographic,"1 season, 13 episodes",22 min.,Pending
Becoming (season 2),Docuseries,"September 18, 2020",Disney XD,"1 season, 10 episodes",24 min.,Pending
