Title,Genre,Release,Length
Little Monsters,Comedy horror,"October 11, 2019","1 hour, 34 min."
Wounds,Horror,"October 18, 2019","1 hour, 34 min."
Big Time Adolescence,Comedy,"March 20, 2020","1 hour, 31 min."
Palm Springs,Romantic comedy,"July 10, 2020","1 hour, 30 min."
The Binge,Comedy,"August 28, 2020","1 hour, 38 min."
Books of Blood,Horror anthology,"October 7, 2020","1 hour, 47 min."
Bad Hair,Comedy horror,"October 23, 2020","1 hour, 55 min."
Run,Horror,"November 20, 2020","1 hour, 30 min."
Happiest Season,Romantic comedy,"November 25, 2020","1 hour, 42 min."
Awaiting release,Awaiting release,Awaiting release,Awaiting release
The Ultimate Playlist of Noise[46],Musical comedy-drama,"January 15, 2021[42]",TBA
Derek DelGaudio's In & of Itself[42],TBA,"January 22, 2021",TBA
