Title,Genre,Seasons,Length,Premiere
American Horror Stories,Horror anthology,"1 season, 16 episodes",60 min.,2021
Dopesick,Drama miniseries,8 episodes,TBA,2021
Nine Perfect Strangers,Drama miniseries,8 episodes,TBA,2021
Platform,Anthology,TBA,TBA,2021
The Dropout,Drama miniseries,TBA,TBA,2021
The Old Man,Drama,TBA,TBA,2021
Y: The Last Man,Drama,TBA,TBA,2021
Candy,True crime drama miniseries,TBA,TBA,TBA
The Girl From Plainville,Crime drama,TBA,TBA,TBA
Shōgun,Historical drama miniseries,TBA,TBA,TBA
