Title,Genre
Ace of Spades,Comedy
Action Park,Comedy
Alien[c],Science fiction horror
Bitches,Comedy anthology
Brainbox,Science fiction
Dawn,Drama
Demons,Drama
Foxy Brown,Drama
Hitman,Action drama
Interior Chinatown,Drama
Invisible Man,Drama
Kansas City,Comedy
LA Woman,Comedy
Mi Hermanastro,Drama
Out There,Dramedy
Postal,Drama
Queen,Dramedy
Queen of Shadows,Fantasy drama
Rodham,Alternate history drama
Simultaneous,Detective thriller
Summer Sisters,Drama miniseries
Tender Is the Night,Drama miniseries
The Devil in the White City,Drama
The House of the Spirits,Drama
The Other Typist,Suspense thriller miniseries
The Wangs vs. the World,Comedy
The Way I Am,Comedy
This Is Heaven,Comedy
Unhinged,Comedy
Unspeakable,Comedy
Untitled figure skating drama series,Drama
Untitled Kelly Oxford series,Drama
Untitled Robert F. Kennedy miniseries,Drama miniseries
Untitled Tom Allen & JT Parr series,Adult animated comedy
Untitled Wild Cards series,Superhero/Science fiction
Untitled Wild Cards series,Superhero/Science fiction
Wild Rabbit,Drama
Yaqui Delgado Wants to Kick Your Ass,Drama
