Title,Genre,Original network,Original region,Seasons,Run,Language
Moone Boy,Comedy,Sky One,United Kingdom,"3 seasons, 18 episodes",2013–15,English
National Treasure,Drama,Channel 4,United Kingdom,4 episodes,2017,English
National Treasure: Kiri,Drama,Channel 4,United Kingdom,4 episodes,2018,English
Find Me in Paris,Teen drama,ZDF,Germany,"3 seasons, 78 episodes",2018–20,English
Safe Harbour,Drama,SBS,Australia,"1 season, 4 episodes",2018,English
Das Boot,Drama,Sky,Germany,"1 season, 8 episodes",2019–,English/German/French
Letterkenny,Comedy,Crave,Canada,"8 seasons, 54 episodes",2019–,English
Littlekenny,Adult animation,Crave,Canada,"1 season, 6 episodes",2019–,English
Jamie: Keep Cooking and Carry On,Cooking show,Channel 4,United Kingdom,"1 season, 20 episodes",2020–,English
Maxxx,Comedy,E4,United Kingdom,"1 season, 6 episodes",2020–,English
Ladhood,Comedy,BBC Three,United Kingdom,"1 season, 6 episodes",2020–,English
In My Skin,Dark comedy,BBC Three,United Kingdom,"1 season, 5 episodes",2020–,English
Brassic,Comedy,Sky One,United Kingdom,"1 season, 6 episodes",2020–,English
Staged,Comedy,BBC One,United Kingdom,"1 season, 6 episodes",2020–,English
Upcoming,Upcoming,Upcoming,Upcoming,Upcoming,Upcoming,Upcoming
"Bad Habits, Holy Orders[120]",Reality,Channel 5,United Kingdom,"1 season, 4 episodes",TBA,English
Jann[121],Comedy,CTV,Canada,"2 season, 14 episodes",TBA,English
