International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
A Love So Beautiful,Drama,Tencent,China,Selected territories,"1 season, 24 episodes",2017
A Taiwanese Tale of Two Cities,Drama,Public Television Service,Taiwan,All other markets except the US,"1 season, 12 episodes",2018
A Thousand Goodnights,Drama,SET TV,Taiwan,Selected territories,"1 season, 10 episodes",2019
Accidentally in Love,Romantic comedy,Tencent,China,Selected territories,"1 season, 30 episodes",2018
Ashes of Love,Fantasy,JSTV,China,Selected territories,"1 season, 63 episodes",2018
Chosen,Thriller,iQIYI,"China, Taiwan",Worldwide except China and Taiwan,"1 season, 3 episodes",2018
Green Door,Drama,Public Television Service,Taiwan,Selected territories,"1 season, 6 episodes",2019
Handsome Siblings,Martial arts,Unknown,China,Selected territories,"1 season, 44 episodes",2020
I Hear You,Drama,Youku,China,Selected territories,"1 season, 24 episodes",2019
Love O2O,Drama,JSTV,China,Selected territories,"1 season, 30 episodes",2016
Meteor Garden,Romantic comedy,Hunan Television,China,"Worldwide excluding Thailand, Philippines and Indonesia","1 season, 49 episodes",2018
On Children,Drama,Public Television Service,Taiwan,Selected territories,"1 season, 5 episodes",2018
Take My Brother Away,Comedy,Tencent,China,Selected territories,"1 season, 30 episodes",2018
The Devil Punisher,Fantasy,Taiwan Television,Taiwan,Selected territories,"1 season, 20 episodesSeason 1 ongoing",2020-21
The Prince of Tennis ~ Match! Tennis Juniors ~,Teen drama,Tencent,China,Selected territories,"1 season, 40 episodes",2019
The Rise of Phoenixes,Period drama,Hunan Television,China,All other markets,"1 season, 70 episodes",2018
Til Death Do Us Part,Science fiction thriller,Unknown,Taiwan,Selected territories,"1 season, 7 episodes",2019
Unrequited Love,Romance,iQIYI,China,Selected territories,"1 season, 24 episodes",2019
Well-Intended Love,Romantic comedy,Sohu,China,Selected territories,"2 seasons, 36 episodes",2019-
Yanxi Palace: Princess Adventures,Period drama,Unknown,China,Selected territories,"1 season, 6 episodes",2019
