Title,Genre,Network,Region,Netflix exclusive regions,Seasons,Original run
Champions,Comedy-drama,NBC,United States,Selected territories,"1 season, 10 episodes",2018
Chewing Gum,Sitcom,E4,United Kingdom,All other markets except Ireland,"2 seasons, 12 episodes",2015-17
Cuckoo,Comedy,BBC Three,United Kingdom,All other markets except Ireland,"5 seasons, 33 episodes",2012-19
Derry Girls,Comedy,Channel 4,United Kingdom,Selected territories,"2 seasons, 12 episodes",2018-
Great News,Comedy,NBC,United States,Selected territories,"2 seasons, 23 episodes",2017-18
Marlon,Sitcom,NBC,United States,Selected territories,"2 seasons, 20 episodes",2017-18
Pompidou,Comedy,BBC Two,United Kingdom,Canada,"1 season, 6 episodes",2015
Pup Academy,Children/comedy,Disney Channel/TVOntario,United States/Canada,Worldwide except North America,"2 seasons, 19 episodes",2019
Sick Note,Sitcom,Sky One,United Kingdom,"Worldwide excluding UK, Ireland, Greece and New Zealand","2 seasons, 14 episodes",2017-18
Some Assembly Required,Teen sitcom,YTV,Canada,All other markets,"3 seasons, 57 episodes",2014-16
The Good Place,Fantasy sitcom,NBC,United States,Selected territories,"4 seasons, 50 episodes",2016-20
The Indian Detective,Comedy,CTV,Canada,Selected territories,"1 season, 4 episodes",2017
The InBESTigators,Children comedy,ABC Me,Australia,Selected territories,"2 seasons, 20 episodes",2019-
White Gold,Comedy,BBC Two,United Kingdom,All other markets except Ireland,"2 seasons, 12 episodes",2017-19
Workin' Moms,Comedy,CBC,Canada,All other markets,"4 seasons, 47 episodes",2017-
You Me Her,Romantic comedy,Audience Network,United States,All other markets except Canada,"5 seasons, 50 episodes",2016-20
