International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run,Language
Ask the Doctor,Docu-series,ABC,Australia,Selected territories,"1 season, 12 episodes",2017,English
Flavorful Origins,Docu-series,Tencent,China,Selected territories,"3 seasons, 40 episodes",2019–,Mandarin
Greatest Events of WWII in Colour,Docu-series,Discovery,United Kingdom,Selected territories,"1 season, 10 episodes",2019,English
Inside the Criminal Mind,Docu-series,Unknown,Germany,Selected territories,"1 season, 4 episodes",2017,English
Juana Inés,Docu-series,Canal Once,Mexico,All other markets[a],"1 season, 7 episodes",2017,Spanish
Leaving Neverland,Docu-series,Channel 4/HBO,United Kingdom/United States,Selected territories,2 episodes,2019,English
"Nisman: The Prosecutor, the President, and the Spy",Docu-series,Unknown,Unknown,Selected territories,6 episodes,2020,Spanish
Paul Hollywood's Big Continental Road Trip,Docu-series,BBC Two,United Kingdom,"All other markets except Ireland, Poland and Africa","1 season, 3 episodes",2017,English
Rust Valley Restorers,Docu-series,History,Canada,Selected territories,"3 seasons, 20 episodes",2018–,English
Tales by Light,Docu-series,National Geographic Channel,Australia,"All other markets except New Zealand, Spain, Portugal and Africa","2 seasons, 12 episodes",2015–18,English
The Casketeers,Docu-series,TVNZ,New Zealand,Selected territories,"2 seasons, 14 episodes",2018–19,English
The Defiant Ones,Docu-series,HBO,United States,All other markets except Canada,"1 season, 4 episodes",2017,English
The Investigator: A British Crime Story,Docu-series,ITV,United Kingdom,"All other markets except Ireland, Australia and New Zealand","1 season, 4 episodes",2016,English
The World's Most Extraordinary Homes,Docu-series,BBC Two,United Kingdom,All other markets except Ireland,"3 seasons, 12 episodes",2017–18,English
Time: The Kalief Browder Story,Docu-series,Spike,United States,All other markets,"1 season, 6 episodes",2017,English
Trump: An American Dream,Docu-series,Channel 4,United Kingdom,All other markets except Ireland,"1 season, 4 episodes",2017,English
Who Killed Malcolm X?,Docu-series,Fusion TV,United States,Selected territories,6 episodes,2020,English
