First screening,Title,Genre,Runtime,Netflix exclusive region,Language
"January 2, 2020",18 Presents,Drama,"1 hour, 55 min.",Selected territories,Italian
"January 3, 2020",Mark of the Devil,Horror,"1 hour, 22 min.",Selected territories,Spanish
"January 23, 2020",Cuties,Drama,"1 hour, 36 min.",Worldwide except France[251],French
"January 24, 2020","I Love You, Stupid",Romantic comedy,"1 hour, 27 min.",Selected territories,Spanish
"January 31, 2020",Adú,Drama,"1 hour, 59 min.",Selected territories,Spanish
"February 21, 2020",Miami Bici,Comedy,"1 hour, 38 min.",Selected territories,Romanian
"February 21, 2020",Shine Your Eyes,Drama,"1 hour, 42 min.",Selected territories[252],Portuguese
"February 28, 2020",Mutiny of the Worker Bees,Comedy,"2 hours, 13 min.",Selected territories,Spanish
"March 6, 2020",The Hater,Drama,"2 hours, 17 min.",Worldwide except Poland[253],Polish
"March 14, 2020",Your Name Engraved Herein,Drama,"1 hour, 58 min.",Selected territories[254],Mandarin
"May 8, 2020","Berlin, Berlin: Lolle on the Run",Comedy,"1 hour, 21 min.",Selected territories,German
"May 15, 2020",Santana,Action,"1 hour, 46 min.",Selected territories,English
"June 24, 2020",#Alive,Horror drama,"1 hour, 38 min.",Selected territories,Korean
"June 25, 2020",Krishna and His Leela,Romantic comedy,"2 hours, 5 min.",Selected territories[255][256],Telugu
"July 3, 2020",Mother,Drama,"2 hours, 6 min.",Selected territories,Japanese
"July 5, 2020",A Choo,Fantasy,"1 hour, 41 min.",Selected territories,Mandarin
"July 9, 2020",The Maid,Horror,"1 hour, 42 min.",Selected territories,Thai
"July 24, 2020",Don’t Listen,Drama,"1 hour, 38 min.",Selected territories,Spanish
"August 14, 2020",The SpongeBob Movie: Sponge on the Run,Animation,"1 hour, 35 min.","Worldwide except United States, Canada, and China[257]",English
"August 20, 2020",Love the Way U Lie,Romantic comedy,"1 hour, 39 min.",Selected territories,Filipino
"September 2, 2020",After We Collided,Drama,"1 hour, 45 min.",Selected territories,English
"September 2, 2020",The Rope Curse 2,Horror,"1 hour, 44 min.",Selected territories,Mandarin
"September 9, 2020",So Much Love to Give,Comedy,"1 hour, 48 min.",Selected territories,Spanish
"September 11, 2020",DNA,Drama,"1 hour, 30 min.",Selected territories,French
"September 12, 2020",Penguin Bloom,Drama,"1 hour, 35 min.","North America, UK, France and select countries in Asia[258]",English
"October 2, 2020",Fierce,Musical comedy-drama,"1 hour, 58 min.",Selected territories,Polish
"October 9, 2020",Asphalt Burning,Comedy,"1 hour, 40 min.",Selected territories,Norwegian
"October 9, 2020",Grandma's Last Wishes,Comedy,"1 hour, 37 min.",Selected territories,Spanish
"October 9, 2020",Below Zero,Drama,TBA,Selected territories,Spanish
"October 28, 2020",You Animal!,Animation/Romantic comedy,"1 hour, 13 min.",Selected territories,Filipino
"November 3, 2020",Miss India,Romantic drama,"2 hours, 16 min.",Selected territories[259],Telugu
"November 15, 2020",Alter Me,Romantic comedy,"1 hour, 31 min.",Selected Asian territories[260],Filipino
"November 19, 2020",Mosul,War drama,"1 hour, 41 min.",Selected territories,Arabic
"November 23, 2020",Andhaghaaram,Thriller,"2 hours, 51 min.",Selected territories,Tamil
"November 27, 2020",Riding with Sugar,Drama,"1 hour, 46 min.",Selected territories,English
"December 11, 2020",Torbaaz,Thriller,"2 hours, 13 min.",Selected territories[261],Hindi
