International title,Original network,Original region,Netflix exclusive regions,Seasons,Original run,Language
Ajin: Demi-Human,MBS,Japan,All other markets,"2 seasons, 26 episodes",2016,Japanese
Back Street Girls,"Tokyo MX, BS11",Japan,Selected territories,"1 season, 10 episodes",2018,Japanese
Beastars,Fuji TV,Japan,All other markets,"1 season, 12 episodes",2019–,Japanese
BNA: Brand New Animal,Fuji TV,Japan,All other markets,"1 season, 12 episodes",2020,Japanese
Carole & Tuesday,Fuji TV,Japan,All other markets,"2 parts, 24 episodes",2019,Japanese
Children of the Whales,"Tokyo MX, Sun TV, KBS Kyoto, BS11",Japan,All other markets,"1 season, 12 episodes",2017,Japanese
Cyborg 009: Call of Justice,DVD release,Japan,All other markets,"1 season, 12 episodes",2017,Japanese
Dorohedoro,Tokyo MX,Japan,All other markets,"1 season, 12 episodes",2020,Japanese
Dragon Pilot: Hisone and Masotan,"Tokyo MX, BS Fuji, GBS",Japan,All other markets,"1 season, 12 episodes",2018,Japanese
Drifting Dragons,Fuji TV,Japan,All other markets,"1 season, 12 episodes",2020,Japanese
Fate/Apocrypha,"Tokyo MX, BS11, GTV, GYT, MBS",Japan,All other markets,"1 season, 25 episodes",2017,Japanese
Fate/Extra Last Encore,"Tokyo MX, BS11, GTV, GYT, MBS",Japan,All other markets,"2 seasons, 13 episodes",2018,Japanese
Forest of Piano,NHK,Japan,All other markets,"2 seasons, 24 episodes",2018–19,Japanese
Glitter Force,TV Asahi,Japan,All other markets,"2 seasons, 40 episodes",2012–13,English
Glitter Force Doki Doki,TV Asahi,Japan,All other markets,"2 seasons, 30 episodes",2013–14,English
Great Pretender,Fuji TV,Japan,Selected territories,"2 seasons, 23 episodes",2020,Japanese
Hi Score Girl,"Tokyo MX, BS11, ATV, MBS",Japan,Selected territories,"2 seasons, 24 episodes",2018–,Japanese
ID-0,"Tokyo MX, Sun TV, KBS, BS 11",Japan,All other markets,"1 season, 12 episodes",2017,Japanese
Ingress: The Animation,Fuji TV,Japan,All other markets,"1 season, 11 episodes",2018,Japanese
Kabaneri of the Iron Fortress: The Battle of Unato,Released as a film,Japan,All other markets,"1 season, 3 episodes",2019,Japanese
Kakegurui,"Tokyo MX, MBS, BS11, RKB, TV Aichi",Japan,All other markets,"2 seasons, 24 episodes",2017–19,Japanese
Knights of Sidonia,MBS,Japan,Selected territories,"2 seasons, 24 episodes",2014–15,Japanese
Kuroko's Basketball,"Tokyo MX, MBS, BS11",Japan,Selected territories,"3 seasons, 75 episodes",2012–15,Japanese
Kuromukuro,AT-X/Tokyo MX/BS11/Sun TV/KBS/TUT,Japan,All other markets,"2 seasons, 26 episodes",2016,Japanese
Last Hope,Tokyo MX,Japan,All other markets,"2 seasons, 26 episodes",2018,Japanese
Little Witch Academia,"Tokyo MX, BS11, KTV",Japan,All other markets,"2 seasons, 25 episodes",2017,Japanese
Magi: Adventure of Sinbad,TBS,Japan,All other markets,"1 season, 13 episodes",2016,Japanese
Pokémon Journeys: The Series,TV Tokyo,Japan,United States,"1 season, 36 episodes",2019–20,Japanese
Revisions,Fuji TV,Japan,All other markets,"1 season, 12 episodes",2019,Japanese
Sirius the Jaeger,"Tokyo MX, BS11",Japan,Selected territories,"1 season, 12 episodes",2018,Japanese
The Seven Deadly Sins,"TBS, MBS, JNN",Japan,All other markets,"4 seasons, 76 episodes",2015–,Japanese
Teasing Master Takagi-san (season 2),"Tokyo MX, AT-X",Japan,All other markets,"1 season, 12 episodes",2018–19,Japanese
Ultramarine Magmell,"Tokyo MX, BS Fuji",Japan,All other markets,"1 season, 13 episodes",2019,Japanese
Violet Evergarden,Tokyo MX/TV Aichi/ABC/BS11,Japan,All other markets,"1 season, 13 episodes",2018,Japanese
