Title,Premiere,Runtime,Language
Miss Americana,"January 31, 2020","1 hour, 25 min.",English
A Life of Speed: The Juan Manuel Fangio Story,"March 20, 2020","1 hour, 32 min.",Spanish
Crip Camp: A Disability Revolution,"March 25, 2020","1 hour, 48 min.",English
LA Originals,"April 10, 2020","1 hour, 32 min.",English
Circus of Books,"April 22, 2020","1 hour, 26 min.",English
A Secret Love,"April 29, 2020","1 hour, 22 min.",English
Murder to Mercy: The Cyntoia Brown Story,"April 29, 2020","1 hour, 37 min.",English
Becoming,"May 6, 2020","1 hour, 29 min.",English
Have a Good Trip: Adventures in Psychedelics,"May 11, 2020","1 hour, 25 min.",English
Spelling the Dream,"June 3, 2020","1 hour, 23 min.",English
One Take,"June 18, 2020","1 hour, 25 min.",Thai
Disclosure: Trans Lives on Screen,"June 19, 2020","1 hour, 47 min.",English
Athlete A,"June 24, 2020","1 hour, 44 min.",English
Mucho Mucho Amor: The Legend of Walter Mercado,"July 8, 2020","1 hour, 36 min.",Spanish/English
The Claudia Kishi Club,"July 10, 2020",17 min.,English
We Are One,"July 14, 2020","1 hour, 26 min.",French
Father Soldier Son,"July 17, 2020","1 hour, 40 min.",English
The Speed Cubers,"July 29, 2020",40 min.,English
Anelka: Misunderstood,"August 5, 2020","1 hour, 34 min.",French
John Was Trying to Contact Aliens,"August 20, 2020",16 min.,English
Rising Phoenix,"August 26, 2020","1 hour, 46 min.",English
My Octopus Teacher,"September 7, 2020","1 hour, 25 min.",English
The Social Dilemma,"September 9, 2020","1 hour, 34 min.",English
Hope Frozen: A Quest to Live Twice,"September 15, 2020","1 hour, 20 min.",Thai/English
GIMS: On the Record,"September 17, 2020","1 hour, 36 min.",French
A Love Song for Latasha,"September 21, 2020",19 min.,English
American Murder: The Family Next Door,"September 30, 2020","1 hour, 22 min.",English
Dick Johnson Is Dead,"October 2, 2020","1 hour, 30 min.",English
David Attenborough: A Life on Our Planet,"October 4, 2020","1 hour, 23 min.",English
Bigflo & Oli: Hip Hop Frenzy,"October 8, 2020","1 hour, 40 min.",French
BLACKPINK: Light Up The Sky,"October 14, 2020","1 hour, 19 min.",Korean
The Three Deaths of Marisela Escobedo,"October 14, 2020","1 hour, 49 min.",Spanish
Rooting for Roona,"October 15, 2020",41 min.,Bengali
Guillermo Vilas: Settling the Score,"October 27, 2020","1 hour, 34 min.",Spanish
Secrets of the Saqqara Tomb,"October 28, 2020","1 hour, 54 min.",English/Arabic
Shawn Mendes: In Wonder,"November 23, 2020","1 hour, 23 min.",English
Dance Dreams: Hot Chocolate Nutcracker,"November 27, 2020","1 hour, 20 min..",English
Emicida: AmarElo – It's All For Yesterday,"December 8, 2020","1 hour, 29 min.",Portuguese
Giving Voice,"December 11, 2020","1 hour, 30 min.",English
Awaiting release,Awaiting release,Awaiting release,Awaiting release
The Minimalists: Less Is Now,"January 1, 2021",TBA,English
Tony Parker: The Final Shot,"January 6, 2021",TBA,TBA
"Crack: Cocaine, Corruption & Conspiracy","January 11, 2021","1 hour, 29 min.",English
