Title,Genre,Prev. network(s),Premiere,Seasons,Runtime,Language,Netflix exclusive regions,Status
The Last Kingdom (seasons 2–4),Period drama,BBC Two[a],"May 5, 2017","3 seasons, 28 episodes",50-59 min.,English,Worldwide since season 3,Renewed
Paquita Salas (seasons 2–3),Mockumentary,Flooxer,"June 29, 2018","2 seasons, 11 episodes",23-38 min.,Spanish,Selected territories,Renewed
Inside the World's Toughest Prisons (seasons 2–4),Docu-series,Channel 5,"July 6, 2018","3 seasons, 12 episodes",44-54 min.,English,Worldwide,"Season 5 due to premiere on January 8, 2021"
MeatEater (seasons 7–9),Docu-series,Sportsman Channel,"October 2, 2018","3 seasons, 29 episodes",22-30 min.,English,Worldwide,Season 9 ongoing
Hip-Hop Evolution (seasons 2–4),Docu-series,HBO Canada,"October 19, 2018","3 seasons, 12 episodes",36-52 min.,English,Worldwide,Pending
Lucifer (season 4–5),Fantasy/police procedural,Fox,"May 8, 2019","2 seasons, 18 episodes",48-62 min.,English,Worldwide except Germany,Season 5 ongoingRenewed for final season
Money Heist (parts 3–4),Thriller,Antena 3,"July 19, 2019","2 parts, 16 episodes",41-60 min.,Spanish,Worldwide,Renewed for final season
Top Boy (series 3),Crime drama,Channel 4,"September 13, 2019","1 series, 10 episodes",44-66 min.,English,Worldwide,Renewed
You (season 2),Thriller,Lifetime,"December 26, 2019","1 season, 10 episodes",44-50 min.,English,Worldwide,Renewed
Zumbo's Just Desserts (season 2),Baking reality competition,Seven Network[a],"January 10, 2020","1 season, 10 episodes",44-48 min.,English,Worldwide,Pending
Shaun the Sheep (series 6),Animation,CBBC,"March 17, 2020","1 season, 10 episodes",13 min.,English,Selected territories,Pending
Unsolved Mysteries (season 15),Docu-series,NBC/CBS/Lifetime/Spike,"July 1, 2020","2 volumes, 12 episodes",36-51 min.,English,Selected territories,Pending
Cobra Kai (season 3),Martial arts,YouTube Premium,"January 8, 2021",TBA,TBA,English,Worldwide,Renewed
