Title,Genre,Premiere
High-Rise Invasion,Anime/Horror,February 2021
EDEN,Anime,May 2021
Baki Hanma,Anime/Martial arts,2021
Godzilla Singular Point,Anime,2021
Masters of the Universe: Revelation,Anime,2021
Pacific Rim: The Black,Anime/Mecha,2021; Renewed
RESIDENT EVIL: Infinite Darkness,CG animation/Anime/Horror,2021
SPRIGGAN,Anime/Science fiction,2021
Thus Spoke Kishibe Rohan,Anime,2021
Trese,Anime/Fantasy,2021
Vampire in the Garden,Anime,2021
The Way of the Househusband,Anime/Comedy,2021
Yasuke,Anime,2021
Cyberpunk: Edgerunners,Anime/Science fiction,2022
Army of the Dead: Lost Vegas,Anime/Horror,TBA
Rilakkuma's Theme Park Adventure,Stop motion/Slice of life,TBA
Super Crooks,Anime,TBA
Thermae Romae Novae,Anime/Comedy,TBA
Untitled Norse mythology anime series,Anime,TBA
Untitled Splinter Cell anime series,Anime,TBA; Renewed
