Title,Genre,Language,Premiere
Das Hausboot,Reality television,German,2021
Haunted Latino,Reality television,Spanish,2021
Love is Blind Brazil,Reality show,Portuguese,2021
Queer Eye Brazil,Reality show,Portuguese,2021
Too Hot to Handle Brazil,Reality show,Portuguese,2021
All the Right Moves,Reality competition,TBA,TBA
Exatlon Challenge,Reality competition,Turkish,TBA
Jet Set,Reality competition,English,TBA
Rhythm + Flow Nouvelle Ecole,Music competition,French,TBA
Sparking Joy with Marie Kondo,Reality television,Japanese,TBA
The Date,Dating show,English,TBA
Untitled Julien Bam series,Reality television,German,TBA
