Title,Partner,Genre,Premiere
Dive Club,Network 10/Australia,Mystery teen drama,2021
Entrapped,RÚV/Iceland & ZDF/Germany,Thriller,2021
"I Do, Redo",CTV/Canada,Reality show,2021
Life in Colour,BBC Two/United Kingdom,Docu-series,2021
On The Verge,Canal+/France,Comedy,TBA
Red Rose,BBC Three/United Kingdom,Teen horror drama,TBA
Soupçons,RTL-TVI/Belgium,French language true crim docuseries,TBA
The Serpent,BBC One/United Kingdom,Thriller miniseries,TBA
Totenfrau,ORF/Austria,Thriller,TBA
Untitled scripted series,Univision/United States,Drama,TBA
