Title,Genre,Premiere,Finale,Seasons,Runtime,Language
Chelsea,Late-night,"May 11, 2016","December 15, 2017","2 seasons, 120 episodes",27-64 min.,English
Julie's Greenroom,Educational,"March 17, 2017","March 17, 2017","1 season, 13 episodes",27-34 min.,English
13 Reasons Why: Beyond the Reasons,Aftershow/Interview,"March 31, 2017","August 23, 2019","3 seasons, 3 episodes",17-67 min.,English
Bill Nye Saves the World,Science,"April 21, 2017","May 11, 2018","3 seasons, 25 episodes",26-41 min.,English
Beyond Stranger Things,Aftershow,"October 27, 2017","October 27, 2017","1 season, 7 episodes",15-25 min.,English
The Joel McHale Show with Joel McHale,Comedy,"February 18, 2018","July 15, 2018","1 season, 19 episodes",22-28 min.,English
A Little Help with Carol Burnett,Variety show,"May 4, 2018","May 4, 2018","1 season, 12 episodes",21-29 min.,English
The Who Was? Show,Educational,"May 11, 2018","May 11, 2018","1 season, 13 episodes",23-27 min.,English
The Break with Michelle Wolf,Late-night,"May 27, 2018","July 29, 2018","1 season, 10 episodes",27 min.,English
Norm Macdonald Has a Show,Talk show,"September 14, 2018","September 14, 2018","1 season, 10 episodes",26-35 min.,English
Patriot Act with Hasan Minhaj,Talk show,"October 28, 2018","June 28, 2020","6 volumes, 40 episodes",22-30 min.,English
Brainchild,Educational,"November 2, 2018","November 2, 2018","1 season, 13 episodes",22-25 min.,English
The Fix,Panel show,"December 14, 2018","December 14, 2018","1 season, 10 episodes",23-31 min.,English
