Title,Genre,Premiere,Runtime
Trailer Park Boys: Swearnet Live,Mockumentary,"October 1, 2014","1 hour, 15 min."
Trailer Park Boys: Live at the North Pole,Mockumentary,"November 15, 2014","1 hour, 28 min."
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Animation,"December 19, 2014",25 min.
Sense8: Creating the World,Making-of,"August 8, 2015",25 min.
"Trailer Park Boys: Drunk, High and Unemployed Live in Austin",Mockumentary,"December 9, 2015","1 hour, 15 min."
Marco Polo: One Hundred Eyes,Period drama,"December 26, 2015",28 min.
Puss in Book: Trapped in an Epic Tale,Animation/interactive fiction,"June 20, 2017",23 min.
Buddy Thunderstruck: The Maybe Pile,Animation/interactive fiction,"July 14, 2017",13 min.
Beat Bugs: All Together Now,Animation,"November 21, 2017",50 min.
DreamWorks Home: For the Holidays,Animation,"December 1, 2017",45 min.
A StoryBots Christmas,Animation,"December 1, 2017",25 min.
Stretch Armstrong: The Breakout,Animation/interactive fiction,"March 13, 2018",45 min.
Super Monsters Save Halloween,Animation,"October 5, 2018",23 min.
"Club de Cuervos Presents: I, Potro",Mockumentary,"October 19, 2018",50 min.
Free Rein: The Twelve Neighs of Christmas,Teen drama,"December 7, 2018",57 min.
Super Monsters and the Wish Star,Animation,"December 7, 2018",27 min.
Prince of Peoria: A Christmas Moose Miracle,Sitcom,"December 17, 2018",29 min.
Aggretsuko: We Wish You a Metal Christmas,Anime,"December 20, 2018",22 min.
Black Mirror: Bandersnatch,Science fiction/drama/interactive,"December 28, 2018","1 hour, 30 min."
Free Rein: Valentine's Day,Teen drama,"February 1, 2019",50 min.
True: Happy Hearts Day,Animation,"February 1, 2019",23 min.
Super Monsters Furever Friends,Animation,"April 16, 2019",58 min.
Malibu Rescue,Comedy,"May 13, 2019","1 hour, 9 min."
Oprah Winfrey Presents When They See Us Now,Interview,"June 12, 2019","1 hour, 1 min."
Our Planet - Behind the Scenes,Documentary,"August 4, 2019","1 hour, 3 min."
The Crystal Calls - Making The Dark Crystal: Age of Resistance,Documentary,"August 31, 2019","1 hour, 22 min."
Super Monsters Back to School,Animation,"August 16, 2019",23 min.
True: Tricky Treat Day,Animation,"September 20, 2019",23 min.
Super Monsters: Vida's First Halloween,Animation,"October 4, 2019",24 min.
The Spooky Tale of Captain Underpants Hack-a-Ween,Animation,"October 8, 2019",46 min.
My Next Guest with David Letterman and Shah Rukh Khan,Talk show,"October 25, 2019","1 hour, 1 min."
The House of Flowers Presents: The Funeral,Comedy,"November 1, 2019",35 min.
True: Grabbleapple Harvest,Animation,"November 1, 2019",23 min.
GO! The Unforgettable Party,Spanish language musical,"November 15, 2019",1 hour
Super Monsters Save Christmas,Animation,"November 26, 2019",24 min.
True: Winter Wishes,Animation,"November 26, 2019",45 min.
Spirit Riding Free: The Spirit of Christmas,Animation,"December 6, 2019",45 min.
A Family Reunion Christmas,Sitcom,"December 9, 2019",29 min.
Jack Whitehall: Christmas with My Father,Variety show,"December 12, 2019","1 hour, 4 min."
Night on Earth: Shot in the Dark,Documentary,"January 30, 2020",59 min.
Captain Underpants: Epic Choice-o-Rama,Animation/interactive fiction,"February 11, 2020",37 min.
Carmen Sandiego: To Steal or Not to Steal,Animation/interactive fiction,"March 10, 2020",31 min.
Altered Carbon: Resleeved,Anime/Science fiction,"March 19, 2020","1 hour, 14 min."
Making Unorthodox,Making-of,"March 26, 2020",21 min.
Dragons: Rescue Riders: Hunt for the Golden Dragon,Animation,"March 27, 2020",46 min.
True: Wuzzle Wegg Day,Animation,"March 27, 2020",23 min.
Money Heist: The Phenomenon,Documentary,"April 3, 2020",57 min.
Go! Go! Cory Carson: The Chrissy,Animation,"May 1, 2020",42 min.
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,Comedy/Interactive fiction,"May 12, 2020","1 hour, 20 min."
