Title,Partner/Country,Genre,Premiere,Seasons,Runtime,Language,Netflix Exclusive Regions,Status
The Worst Witch,CBBC/United Kingdom & ZDF/Germany,Children's fantasy,"July 21, 2017","4 seasons, 51 episodes",28–59 min.,English,Selected territories[126],Pending
The New Legends of Monkey,ABC/Australia & TVNZ/New Zealand,Fantasy adventure,"April 27, 2018","2 seasons, 20 episodes",23–35 min.,English,All other markets,Pending
I Am a Killer,Crime + Investigation/United Kingdom,Docu-series,"August 3, 2018","2 seasons, 20 episodes",47–53 min.,English,All other markets,Pending
Robozuna,CITV/United Kingdom,Animation,"October 25, 2018","2 seasons, 20 episodes",22–23 min.,English,All other markets,Pending
Perfume,ZDFneo/Germany,Thriller,"December 21, 2018","1 season, 6 episodes",53–67 min.,German,All other markets,Renewed[127]
Undercover,Eén/Belgium,Crime drama,"May 3, 2019","2 seasons, 20 episodes",46–54 min.,Dutch,Selected territories[128],Pending
Dracula,BBC One/United Kingdom,Drama,"January 4, 2020","1 season, 3 episodes",88–91 min.,English,All other markets,Pending
The Valhalla Murders,RÚV/Iceland,Crime drama,"March 13, 2020","1 season, 8 episodes",45–48 min.,Icelandic,All other markets,Pending
Feel Good,Channel 4/United Kingdom,Comedy,"March 19, 2020","1 season, 6 episodes",24–25 min.,English,All other markets,Renewed for final season[129]
Freud,ORF/Austria,Period thriller,"March 23, 2020","1 season, 8 episodes",45–55 min.,German,"Worldwide except Austria, Belgium, Finland and Hungary[130]",Pending
Crazy Delicious,Channel 4/United Kingdom,Cooking competition,"June 24, 2020","1 season, 6 episodes",46 min.,English,All other markets,Pending
Alien TV,Nine Network/Australia,Hybrid animation,"August 21, 2020","1 season, 13 episodes",24 min.,English,All other markets,Pending
I Am a Killer: Released,Sky Crime/United Kingdom,Docu-series,"August 28, 2020","1 season, 3 episodes",30–38 min.,English,All other markets,Pending
Detention,Public Television Service/Taiwan,Horror,"December 5, 2020","1 season, 8 episodes",46–55 min.,Mandarin,Worldwide,Season 1 ongoing
