Title,Genre,Premiere,Runtime
True: Rainbow Rescue,Animation,"June 2, 2020",23 min.
The Larva Island Movie,Animation,"July 23, 2020","1 hour, 30 min."
Dragons: Rescue Riders: Secrets of the Songwing,Animation,"July 24, 2020",46 min.
Sugar High,Baking competition,"July 31, 2020",44 min.
Super Monsters: The New Class,Animation,"August 1, 2020",24 min.
A Go! Go! Cory Carson Summer Camp,Animation,"August 4, 2020",20 min.
Malibu Rescue: The Next Wave,Comedy,"August 4, 2020","1 hour, 10 min."
The Magic School Bus Rides Again: Kids in Space,Animation,"August 7, 2020",45 min.
Making The Witcher,Making-of,"August 26, 2020",32 min.
True: Friendship Day,Animation,"September 1, 2020",23 min.
The Boss Baby: Get That Baby!,Animation/interactive fiction,"September 1, 2020",24 min.
A Go! Go! Cory Carson Halloween,Animation,"October 2, 2020",21 min.
StarBeam: Halloween Hero,Animation,"October 6, 2020",33 min.
Super Monsters: Dia de los Monsters,Animation,"October 9, 2020",25 min.
The Magic School Bus Rides Again: The Frizz Connection,Animation,"October 20, 2020",46 min.
Dragons: Rescue Riders: Huttsgalor Holiday,Animation,"November 24, 2020",46 min.
A Go! Go! Cory Carson Christmas,Animation,"November 27, 2020",21 min.
Chico Bon Bon and the Very Berry Holiday,Animation,"December 3, 2020",25 min.
Captain Underpants: Mega Blissmas,Animation,"December 4, 2020",46 min.
Mighty Express: A Mighty Christmas,Animation,"December 5, 2020",25 min.
Spirit Riding Free: Ride Along Adventure,Animation/interactive fiction,"December 8, 2020",22 min.
Super Monsters: Santa's Super Monster Helpers,Animation,"December 8, 2020",24 min.
A Trash Truck Christmas,Animation,"December 11, 2020",28 min.
Awaiting release,Awaiting release,Awaiting release,Awaiting release
An Unremarkable Christmas[145],Spanish language comedy,"December 17, 2020",TBA
The Magic School Bus Rides Again in the Zone,Animation,"December 26, 2020[64]",TBA
