Title,Genre,Premiere
Behind Her Eyes,Psychological thriller miniseries,2021
Blood Red Sky,Horror,2021
Clickbait,Thriller miniseries,2021
Colin in Black & White,Biopic miniseries,2021
Ginny & Georgia,Coming of age drama,2021
Halston,Drama miniseries,2021
Jupiter's Legacy,Superhero epic,2021
Pieces of Her,Thriller,2021
Shadow and Bone,Fantasy drama,2021
Terra Vision,Drama miniseries,2021
Untitled Heartbreak High reboot,Teen drama,2022
Untitled miniseries about Ayrton Senna,Drama miniseries,2022
1899,Horror/history,TBA
A Chorus Line,Drama miniseries,TBA
Again[b],Thriller,TBA
American Jesus,Supernatural drama,TBA
Anatomy of a Scandal,Anthology series,TBA
Archive 81,Found footage horror,TBA
Baahubali: Before the Beginning[b],Fantasy,TBA; Renewed
Bloom,Drama,TBA
Brand New Cherry Flavor,Horror thriller,TBA
Cowboy Bebop,Science fiction,TBA
Conquest,Science fiction,TBA
Crocodile,Mystery thriller,TBA
Far From Home,Drama,TBA
First Kill,Horror/Drama,TBA
From Scratch,Drama miniseries,TBA
Guillermo del Toro Presents 10 After Midnight,Horror anthology,TBA
Hit and Run,Political espionage thriller,TBA
In From the Cold,Thriller,TBA
Inventing Anna,Drama miniseries,TBA
JIVA!,Drama,TBA
Kaos,Dark comedy,TBA
Kings of America,Drama miniseries,TBA
Lost Ollie,Drama,TBA
Maid,Dramedy,TBA
Midnight Mass,Horror,TBA
Monster: The Jeffrey Dahmer Story,Crime drama miniseries,TBA
Notes on Love,Anthology series,TBA
One Piece,Action,TBA
Painkiller,Crime drama miniseries,TBA
Resident Evil,Horror,TBA
Sex/Life,Dramedy,TBA
Stay Close,Drama,TBA
Sweet Tooth,Fantasy drama,TBA
The Chair,Dramedy,TBA
The Irregulars,Drama,TBA
The Last Bus,Science fiction,TBA
The One,Science fiction,TBA
The Sandman,Fantasy,TBA
The Secret Lives of Baba Segi's Wives,Drama,TBA
The Witcher: Blood Origin,Fantasy miniseries,TBA
The Woman in the House,Dark comedy/Thriller miniseries,TBA
True Story,Drama miniseries,TBA
Untitled Avatar: The Last Airbender live-action series,Fantasy,TBA
Untitled Lior Raz & Avi Issacharoff terrorism drama series,Drama,TBA
Untitled The Three-Body Problem series,Science fiction,TBA
Vikings: Valhalla,Historical period drama,TBA
Viva La Madness,Crime drama,TBA
White Stork,Political thriller,TBA
Zero Chill,Teen drama,TBA
