"","Title","Genre","Premiere","Episodes","Seasons","Min_Time","Max_Time","Language","Status","Service","Format","Origin","Network","Region"
"1","Stranger Things","Science-Fiction / Horror / Drama",2016-07-15,25,3,42,78,NA,"Renewed","Netflix","Series","Original",NA,NA
"2","The Crown","Historical / Drama",2016-11-04,40,4,47,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"3","Ozark","Crime / Drama",2017-07-21,30,3,52,80,NA,"Renewed","Netflix","Series","Original",NA,NA
"4","Lost in Space","Science-Fiction / Drama",2018-04-13,20,2,39,66,NA,"Renewed","Netflix","Series","Original",NA,NA
"5","Chilling Adventures of Sabrina","Supernatural / Horror / Drama",2018-10-26,28,3,50,64,NA,"Awaiting release","Netflix","Series","Original",NA,NA
"6","Narcos: Mexico","Crime / Drama",2018-11-16,20,2,45,70,NA,"Renewed","Netflix","Series","Original",NA,NA
"7","The Umbrella Academy","Superhero / Action / Drama",2019-02-15,20,2,40,60,NA,"Renewed","Netflix","Series","Original",NA,NA
"8","Black Summer","Zombie / Drama",2019-04-11,8,1,21,45,NA,"Renewed","Netflix","Series","Original",NA,NA
"9","Another Life","Science-Fiction / Drama",2019-07-25,10,1,37,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"10","Criminal: UK","Police / Anthology / Drama",2019-09-20,7,2,41,47,NA,"Pending","Netflix","Series","Original",NA,NA
"11","Raising Dion","Superhero / Science-Fiction / Drama",2019-10-04,9,1,39,51,NA,"Renewed","Netflix","Series","Original",NA,NA
"12","Virgin River","Romantic / Drama",2019-12-06,20,2,40,49,NA,"Pending","Netflix","Series","Original",NA,NA
"13","The Witcher","Fantasy / Drama",2019-12-20,8,1,47,67,NA,"Renewed","Netflix","Series","Original",NA,NA
"14","Locke & Key","Horror / Teen / Drama",2020-02-07,10,1,40,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"15","The Letter for the King","Fantasy / Drama",2020-03-20,6,1,40,51,NA,"Pending","Netflix","Series","Original",NA,NA
"16","Outer Banks","Drama",2020-04-15,10,1,46,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"17","Sweet Magnolias","Romance / Drama",2020-05-19,10,1,43,52,NA,"Renewed","Netflix","Series","Original",NA,NA
"18","Blood & Water","Teen / Drama",2020-05-20,6,1,43,53,NA,"Renewed","Netflix","Series","Original",NA,NA
"19","Homemade","Anthology / Drama",2020-06-30,17,1,4,11,NA,"Pending","Netflix","Series","Original",NA,NA
"20","Warrior Nun","Fantasy / Drama",2020-07-02,10,1,37,50,NA,"Renewed","Netflix","Series","Original",NA,NA
